"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Vertrauenswuerdigkeit",1,133,3.86165413533835,0.750426323732179,4,3.92897196261682,0.59304,1.6,5,3.4,-0.854232723271273,0.448812685668708,0.0650702146701507
"Informationsqualitaet",2,133,4.06265664160401,0.696492385454701,4,4.12772585669782,0.4942,2,5,3,-0.866128603581606,0.394203243476868,0.0603935491125407
"Einstellung_UGC",3,133,3.25062656641604,0.894621051989397,3,3.23676012461059,0.9884,1,5,4,0.064864692644639,-0.757791373509663,0.0775734833126162
"Kaufabsicht",4,133,2.54887218045113,0.913051169938244,2.66666666666667,2.55763239875389,0.9884,1,5,4,-0.0589625309218974,-0.740260591362563,0.0791715772139113
