"Praediktor","Schaetzung","Std_Fehler","t_Wert","p_Wert"
"Konstante",-5.44729637605646e-16,0.0724300669939407,-7.52076672317888e-15,0.999999999999994
"Vertrauenswuerdigkeit",0.12663861043093,0.0868235379209657,1.45857463843741,0.147112737315335
"Informationsqualitaet",0.229821877068858,0.0847449440911584,2.71192434585411,0.00760169585329214
"Einstellung_UGC",0.362034945969163,0.0799449983321036,4.52855029735839,1.33528427733956e-05
