"Geschlecht","Anzahl","Vertrauenswuerdigkeit","Informationsqualitaet","Einstellung_UGC","Kaufabsicht"
1,100,3.96,4.12666666666667,3.25333333333333,2.64309764309764
2,34,3.6,3.8921568627451,3.20588235294118,2.27450980392157
