"Row","Mahalanobis_D2","Cutoff","Ausreisser"
1,0.184771126474946,16.2662361962381,FALSE
2,2.47378078768552,16.2662361962381,FALSE
3,2.40650950031853,16.2662361962381,FALSE
4,3.78614583732049,16.2662361962381,FALSE
5,5.26022980340765,16.2662361962381,FALSE
6,0.971028916191928,16.2662361962381,FALSE
7,2.43509347912258,16.2662361962381,FALSE
8,4.05040523591963,16.2662361962381,FALSE
9,1.91127926491756,16.2662361962381,FALSE
10,2.38989234095093,16.2662361962381,FALSE
11,2.09379946807338,16.2662361962381,FALSE
12,2.6718607938275,16.2662361962381,FALSE
13,4.41527424186826,16.2662361962381,FALSE
14,1.8026327550562,16.2662361962381,FALSE
15,3.82128604368186,16.2662361962381,FALSE
16,1.22838070708135,16.2662361962381,FALSE
17,1.46496355089958,16.2662361962381,FALSE
18,1.87563408536582,16.2662361962381,FALSE
19,0.849143895695365,16.2662361962381,FALSE
20,3.20993061534804,16.2662361962381,FALSE
21,0.403303808781776,16.2662361962381,FALSE
22,4.38752174431228,16.2662361962381,FALSE
23,3.19601923633026,16.2662361962381,FALSE
24,3.14152357178379,16.2662361962381,FALSE
25,1.34525824122405,16.2662361962381,FALSE
26,2.50167530219637,16.2662361962381,FALSE
27,1.63610341780328,16.2662361962381,FALSE
28,1.29876140127829,16.2662361962381,FALSE
29,2.29114005268554,16.2662361962381,FALSE
30,15.9607820114203,16.2662361962381,FALSE
31,4.48050319964856,16.2662361962381,FALSE
32,1.95341401313332,16.2662361962381,FALSE
33,1.35145953369531,16.2662361962381,FALSE
34,0.556469638894574,16.2662361962381,FALSE
35,3.78614583732049,16.2662361962381,FALSE
36,3.56205914504439,16.2662361962381,FALSE
37,2.55980801685174,16.2662361962381,FALSE
38,4.5377409854215,16.2662361962381,FALSE
39,10.3954104789265,16.2662361962381,FALSE
40,3.93716615613125,16.2662361962381,FALSE
41,0.635365049163024,16.2662361962381,FALSE
42,1.8026327550562,16.2662361962381,FALSE
43,13.6172136112503,16.2662361962381,FALSE
44,2.30336780518349,16.2662361962381,FALSE
45,3.11674075163893,16.2662361962381,FALSE
46,4.70442919212963,16.2662361962381,FALSE
47,1.77736377674372,16.2662361962381,FALSE
