"","Vertrauenswuerdigkeit","Informationsqualitaet","Einstellung_UGC","Kaufabsicht","Alter"
"Vertrauenswuerdigkeit",1,0.495999559316721,0.367303621213142,0.379234196123132,-0.0347052894714593
"Informationsqualitaet",0.495999559316721,1,0.31354210625848,0.410111516637129,0.0668886754039402
"Einstellung_UGC",0.367303621213142,0.31354210625848,1,0.485715655441885,0.0595754236853845
"Kaufabsicht",0.379234196123132,0.410111516637129,0.485715655441885,1,0.076302554053083
"Alter",-0.0347052894714593,0.0668886754039402,0.0595754236853845,0.076302554053083,1
