"term","estimate","std.error","statistic","p.value"
"(Intercept)",-0.47481776651136,0.387939923752752,-1.22394664080508,0.222749449009129
"trustworthiness",0.156368385740916,0.0935238395749434,1.6719628540872,0.0964620197122261
"info_quality",0.302304470224362,0.0989982740505031,3.05363374385844,0.00264369716684241
"attitude_ugc",0.366971501074146,0.071635086095605,5.1227899773078,8.46854428582776e-07
