"Treat","Mediator","Outcome","N","A","B","Indirect","CI_Lower","CI_Upper","Direct","Total","Prop_Mediated","Sobel_z","Sobel_p"
"Informationsqualitaet","Einstellung_UGC","purchase_intent",133,0.418536687193403,0.402020704682318,0.168260413920895,0.0784322855556936,0.284379880129028,0.369366138631031,0.537626552551925,0.312968943074373,3.12032933076223,0.001806489470215
"Vertrauenswuerdigkeit","Einstellung_UGC","purchase_intent",133,0.459341106912336,0.407016499114176,0.186959409234689,0.0957605786856534,0.294465673359378,0.274458608098072,0.461418017332762,0.405184457935589,3.43557823782138,0.000591290704254677
